title, price
RTX gigabyte 2070 super,900 €
Radeon RX 550 4gb Nova! Na caixa.,140 €
Gráfica NVIDIA Quadro CX,200 €
Gigabyte Geforce GTX 970 Mini ITX OC 4GB Gddr5,300 €
gtx 1070 ti 8gb avariada,150 €
Placa Grafica AMD Radeon HD7870 GHZ Edition,25 €
Placa Grafica Cabo Conector Ponte Cross Fire Ati Radeon AMD,5 €
Placa Gráfica Matrox Millenium P690 LP 128M PCIe X1,80 €
Lote de 3 Placas gráficas : Evga Gtx 670. Evga Gtx780 e Zotak Gtx780ti,200 €
Placa Gráfica Matrox PCI P650 64M (P65-MDDAP64F),50 €
6900xt Gaming x Trio MSI,1 700 €
Zotac Gaming GeForce GTX 1660 SUPER Twin Fan 6GB,400 €
GTX 1660 Dual - 6GB Como nova,375 €
Placa Gráfica ATI Radeon x700 Super PCI-E 512MB DDR2 VGA TV-Ou DVI GPU,25 €
Placa Grafica 2002/9523- Radeon X600SE-256MB HyperMemory V/VO 256 MB P,25 €
